Taxon	Downstream.5pm	Upstream.5.30am	Downstream.7.30am.day2	Upstream.8am.biof	Upstream.11am.biof	Downstream.8am.biof	Upstream.7.30am.day2	Upstream.5pm.biof	Downstream.5pm.biof	Downstream.11am	Trans.Waller.split	Upstream.2pm.biof	Trans.27.pipe	Upstream.5pm	Upstream.11am	Trans.Hemphill.Split	Upstream.8am	Downstream.5.30am	Downstream.2pm	Trans.105.pipe	Downstream.11am.biof	Downstream.8am	Upstream.2pm	Trans.24th.Street.Weir	Trans.Clark.Field
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;Other	0.0	0.0	0.0	0.000126582278481	0.000632911392405	0.000126582278481	0.0	0.000253164556962	0.0	0.0	0.0	0.000506329113924	0.000759493670886	0.0	0.0	0.000126582278481	0.000126582278481	0.0	0.000126582278481	0.000253164556962	0.000126582278481	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__	0.000506329113924	0.000632911392405	0.00101265822785	0.00240506329114	0.00417721518987	0.00101265822785	0.000632911392405	0.00746835443038	0.000379746835443	0.000632911392405	0.00151898734177	0.00392405063291	0.0020253164557	0.00113924050633	0.000379746835443	0.00151898734177	0.000886075949367	0.000759493670886	0.000632911392405	0.00721518987342	0.00139240506329	0.00101265822785	0.000379746835443	0.000253164556962	0.00126582278481
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__A17	0.0	0.000506329113924	0.0	0.000253164556962	0.000253164556962	0.0	0.000253164556962	0.000126582278481	0.000126582278481	0.000126582278481	0.000126582278481	0.000126582278481	0.0	0.000126582278481	0.000253164556962	0.0	0.000506329113924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Pirellula	0.0	0.000253164556962	0.000759493670886	0.000632911392405	0.00151898734177	0.000126582278481	0.0	0.00139240506329	0.000126582278481	0.0	0.000126582278481	0.00113924050633	0.000126582278481	0.0	0.000126582278481	0.000126582278481	0.000379746835443	0.000126582278481	0.000126582278481	0.0	0.000506329113924	0.0	0.000253164556962	0.000253164556962	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces	0.000379746835443	0.00164556962025	0.00101265822785	0.0046835443038	0.020253164557	0.00151898734177	0.00113924050633	0.0196202531646	0.000886075949367	0.000506329113924	0.000759493670886	0.0140506329114	0.00189873417722	0.000126582278481	0.000759493670886	0.000886075949367	0.000506329113924	0.000379746835443	0.000632911392405	0.000759493670886	0.00177215189873	0.000506329113924	0.000379746835443	0.000379746835443	0.0
k__Bacteria;p__Planctomycetes;c__vadinHA49;o__;f__;g__	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481
k__Bacteria;p__Planctomycetes;c__vadinHA49;o__DH61;f__;g__	0.0	0.000126582278481	0.000253164556962	0.0	0.0	0.0	0.000126582278481	0.000126582278481	0.000126582278481	0.0	0.000632911392405	0.0	0.00544303797468	0.000126582278481	0.0	0.000759493670886	0.0	0.0	0.000126582278481	0.000253164556962	0.0	0.0	0.000126582278481	0.000379746835443	0.000759493670886
k__Bacteria;p__Planctomycetes;c__vadinHA49;o__PHOS-HE93;f__;g__	0.000253164556962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.000632911392405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;Other;Other;Other;Other	0.0418987341772	0.0053164556962	0.0217721518987	0.00544303797468	0.0159493670886	0.0144303797468	0.00911392405063	0.00898734177215	0.00632911392405	0.0121518987342	0.00341772151899	0.00645569620253	0.00569620253165	0.00721518987342	0.00658227848101	0.00367088607595	0.00430379746835	0.0208860759494	0.0253164556962	0.00253164556962	0.00949367088608	0.0103797468354	0.00518987341772	0.00227848101266	0.00291139240506
k__Bacteria;p__Proteobacteria;c__;o__;f__;g__	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.000506329113924	0.0	0.000126582278481	0.0	0.00164556962025	0.0	0.00177215189873	0.0	0.000632911392405	0.000632911392405	0.000253164556962	0.0	0.0	0.0	0.0	0.0	0.0	0.000253164556962	0.000253164556962
